tokens;intent
Wie erreiche ich den Patienten per Handy;TELEFONNUMMER_BEKOMMEN
Handynummer eines Angehörigen abrufen bitte;TELEFONNUMMER_BEKOMMEN
Telefonnummer für Rückruf beim Angehörigen anzeigen;TELEFONNUMMER_BEKOMMEN
Telefonnummer zur Kontaktaufnahme mit Familie anzeigen;TELEFONNUMMER_BEKOMMEN
Gib mir bitte die Rufnummer des nächsten Angehörigen;TELEFONNUMMER_BEKOMMEN
Telefonnummer der nächsten Angehörigen anzeigen lassen;TELEFONNUMMER_BEKOMMEN
Telefonnummer der Notfallkontakte abrufen;TELEFONNUMMER_BEKOMMEN
Rufnummer der Angehörigen des Patienten bitte;TELEFONNUMMER_BEKOMMEN
Wie kann ich die Angehörigen erreichen;TELEFONNUMMER_BEKOMMEN
Telefonnummer für Rückfragen beim Angehörigen anzeigen;TELEFONNUMMER_BEKOMMEN
Ich brauche die Kontaktnummer des Patienten;TELEFONNUMMER_BEKOMMEN
Ich brauche die Telefonnummer für einen Rückruf;TELEFONNUMMER_BEKOMMEN
Notfallnummer des Patienten abrufen;TELEFONNUMMER_BEKOMMEN
Notfallkontakt des Patienten anzeigen;TELEFONNUMMER_BEKOMMEN
Gib mir bitte den Telefonkontakt zur Familie;TELEFONNUMMER_BEKOMMEN
Telefonnummer der Hinterbliebenen anzeigen;TELEFONNUMMER_BEKOMMEN
Mobilnummer des Angehörigen anzeigen;TELEFONNUMMER_BEKOMMEN
Zeig mir die Telefonnummer der Kontaktperson;TELEFONNUMMER_BEKOMMEN
Zeige die Telefonnummer der Angehörigen an;TELEFONNUMMER_BEKOMMEN
Telefonnummer der Eltern abrufen;TELEFONNUMMER_BEKOMMEN
Telefonnummer der Geschwister anzeigen lassen;TELEFONNUMMER_BEKOMMEN
Wie kontaktiere ich die Familie des Patienten;TELEFONNUMMER_BEKOMMEN
Telefonnummer für Notfälle bitte anzeigen;TELEFONNUMMER_BEKOMMEN
Kontakttelefonnummer der Angehörigen abrufen;TELEFONNUMMER_BEKOMMEN
Telefonnummer der eingetragenen Kontaktperson abrufen;TELEFONNUMMER_BEKOMMEN
Gib mir die Handynummer des eingetragenen Kontaktes;TELEFONNUMMER_BEKOMMEN
Wie lautet die Notfallnummer des Patienten;TELEFONNUMMER_BEKOMMEN
Bitte die Telefonnummer des nächsten Angehörigen zeigen;TELEFONNUMMER_BEKOMMEN
Rufnummer des eingetragenen Notfallkontaktes anzeigen;TELEFONNUMMER_BEKOMMEN
Zeig mir den Telefonkontakt der Angehörigen;TELEFONNUMMER_BEKOMMEN
Telefonnummer eines eingetragenen Angehörigen anzeigen lassen;TELEFONNUMMER_BEKOMMEN
Telefonnummer des zuständigen Angehörigen abrufen;TELEFONNUMMER_BEKOMMEN
Zeig mir bitte die Notfallnummer des Patienten;TELEFONNUMMER_BEKOMMEN
Telefonnummer der Angehörigen für Rückfragen abrufen;TELEFONNUMMER_BEKOMMEN
Mobilnummer eines Angehörigen anzeigen lassen;TELEFONNUMMER_BEKOMMEN
Telefonnummer einer Kontaktperson bitte;TELEFONNUMMER_BEKOMMEN
Wie lautet die Telefonnummer der Hinterbliebenen;TELEFONNUMMER_BEKOMMEN
Nummer für Kontaktaufnahme mit Angehörigen anzeigen;TELEFONNUMMER_BEKOMMEN
Rufnummer für telefonische Rückfragen bitte anzeigen;TELEFONNUMMER_BEKOMMEN
Telefonnummer zur Kontaktaufnahme mit Familie abrufen;TELEFONNUMMER_BEKOMMEN
Rufnummer des nächsten Angehörigen bitte angeben;TELEFONNUMMER_BEKOMMEN
Telefonnummer vom Kontaktpersoneneintrag abrufen;TELEFONNUMMER_BEKOMMEN
Telefonnummer eines Angehörigen für Rückruf;TELEFONNUMMER_BEKOMMEN
Kontakttelefonnummer vom Familienmitglied abrufen;TELEFONNUMMER_BEKOMMEN
Gib mir die Telefonnummer der Patientenfamilie;TELEFONNUMMER_BEKOMMEN
Telefonnummer eines eingetragenen Notfallkontaktes anzeigen;TELEFONNUMMER_BEKOMMEN
Rufnummer vom Angehörigenkontakt anzeigen;TELEFONNUMMER_BEKOMMEN
Telefonnummer der nächsten Kontaktperson abrufen;TELEFONNUMMER_BEKOMMEN
Telefonnummer eines eingetragenen Familienmitgliedes abrufen;TELEFONNUMMER_BEKOMMEN
Wie erreiche ich die Angehörigen telefonisch;TELEFONNUMMER_BEKOMMEN
Telefonnummer für Angehörigenkontakt anzeigen lassen;TELEFONNUMMER_BEKOMMEN
Telefonnummer eines Angehörigen bitte mitteilen;TELEFONNUMMER_BEKOMMEN
Telefonnummer für familiären Kontakt abrufen;TELEFONNUMMER_BEKOMMEN
Zeig mir die Telefonnummer für einen Notfallkontakt;TELEFONNUMMER_BEKOMMEN
Telefonnummer Patient;TELEFONNUMMER_BEKOMMEN
Wie erreiche ich den Patienten telefonisch;TELEFONNUMMER_BEKOMMEN
Kannst du mir die Telefonnummer des Patienten nennen;TELEFONNUMMER_BEKOMMEN
Ich brauche die Handynummer von Frau Müller;TELEFONNUMMER_BEKOMMEN
Wie lautet die Telefonnummer von Herrn Schneider;TELEFONNUMMER_BEKOMMEN
Gib mir bitte die Kontakttelefonnummer vom Patienten;TELEFONNUMMER_BEKOMMEN
Welche Nummer hat der Sohn des Patienten;TELEFONNUMMER_BEKOMMEN
Wie kann ich die Tochter des Patienten telefonisch erreichen;TELEFONNUMMER_BEKOMMEN
Zeig mir die Telefonnummer der Angehörigen an;TELEFONNUMMER_BEKOMMEN
Nenne mir die Telefonnummer der Kontaktperson;TELEFONNUMMER_BEKOMMEN
Ich brauche eine Telefonnummer für Rückfragen;TELEFONNUMMER_BEKOMMEN
Telefonnummer des nächsten Angehörigen anzeigen;TELEFONNUMMER_BEKOMMEN
Wie kontaktiere ich den Patienten telefonisch;TELEFONNUMMER_BEKOMMEN
Telefonnummer für den Patienten abrufen;TELEFONNUMMER_BEKOMMEN
Gib mir bitte die private Telefonnummer des Patienten;TELEFONNUMMER_BEKOMMEN
Welche Handynummer hat der Ehemann der Patientin;TELEFONNUMMER_BEKOMMEN
Kannst du mir die Telefonnummer der Mutter anzeigen;TELEFONNUMMER_BEKOMMEN
Wie lautet die Festnetznummer des Patienten;TELEFONNUMMER_BEKOMMEN
Ich suche die Telefonnummer von Frau Meier;TELEFONNUMMER_BEKOMMEN
Wie kann ich den Vater des Patienten telefonisch erreichen;TELEFONNUMMER_BEKOMMEN
Bitte gib mir die Telefonnummer der Kontaktperson;TELEFONNUMMER_BEKOMMEN

Wann wurde der Patient geboren;GEBURTSDATUM_BEKOMMEN
Was ist das Geburtsdatum des Patienten;GEBURTSDATUM_BEKOMMEN
Nenne mir das Geburtsdatum von Frau Schmitt;GEBURTSDATUM_BEKOMMEN
Ich brauche das Geburtsdatum von Herrn Wagner;GEBURTSDATUM_BEKOMMEN
Wann ist die Patientin zur Welt gekommen;GEBURTSDATUM_BEKOMMEN
Kannst du mir sagen wann der Patient Geburtstag hat;GEBURTSDATUM_BEKOMMEN
Wann genau ist der Patient geboren;GEBURTSDATUM_BEKOMMEN
Geburtsdatum des Patienten anzeigen;GEBURTSDATUM_BEKOMMEN
Wie lautet das Geburtsdatum des Angehörigen;GEBURTSDATUM_BEKOMMEN
Zeig mir bitte das Geburtsdatum von Frau Becker an;GEBURTSDATUM_BEKOMMEN
Wann hat der Patient Geburtstag;GEBURTSDATUM_BEKOMMEN
Wie alt ist der Patient genau;GEBURTSDATUM_BEKOMMEN
Ich benötige das genaue Geburtsdatum der Patientin;GEBURTSDATUM_BEKOMMEN
Kannst du das Geburtsdatum der Kontaktperson nennen;GEBURTSDATUM_BEKOMMEN
Was ist das genaue Geburtsdatum von Herrn Schuster;GEBURTSDATUM_BEKOMMEN


Kannst du mir die Telefonnummer von Herrn Müller sagen;TELEFONNUMMER_BEKOMMEN
Weißt du die Nummer von der Patientin;TELEFONNUMMER_BEKOMMEN
Ich brauche die Handynummer von Frau Schmitt;TELEFONNUMMER_BEKOMMEN
Was ist die Telefonnummer von Max Mustermann;TELEFONNUMMER_BEKOMMEN
Könntest du bitte die Telefonnummer der Tochter raussuchen;TELEFONNUMMER_BEKOMMEN
Hast du die Nummer von der Pflegekraft;TELEFONNUMMER_BEKOMMEN
Gib mir bitte die Telefonnummer vom Hausarzt;TELEFONNUMMER_BEKOMMEN
Ich finde die Rufnummer von der Krankenschwester nicht;TELEFONNUMMER_BEKOMMEN
Wie lautet die Kontakttelefonnummer von Herrn Weber;TELEFONNUMMER_BEKOMMEN
Rufnummer von Maria weißt du die;TELEFONNUMMER_BEKOMMEN
Kannst du mir bitte das Handy von Jonas geben;TELEFONNUMMER_BEKOMMEN
Ich brauche die Nummer von der Tochter von Herrn Müller;TELEFONNUMMER_BEKOMMEN
Was ist die Telefonnummer von der Schwester;TELEFONNUMMER_BEKOMMEN
Hast du die Nummer von der Familienpflegekraft;TELEFONNUMMER_BEKOMMEN
Die Handynummer von Frau Meier bitte;TELEFONNUMMER_BEKOMMEN
Schnell die Telefonnummer von der Mutter!;TELEFONNUMMER_BEKOMMEN
Wie lautet die Nummer von der Schwester von Max;TELEFONNUMMER_BEKOMMEN
Kannst du mir die Kontakt-Nr von der Ärztin geben;TELEFONNUMMER_BEKOMMEN
Ich brauche die Telefonnummer von Frau Hofmann;TELEFONNUMMER_BEKOMMEN
Was ist die Telefonnummer von der Pflegerin;TELEFONNUMMER_BEKOMMEN
Die Telefonnummer von der Mutter von Anna;TELEFONNUMMER_BEKOMMEN
Kannst du die Nummer von der Klinikkontaktperson heraussuchen;TELEFONNUMMER_BEKOMMEN
Gibt es die Rufnummer von Herrn Fischer;TELEFONNUMMER_BEKOMMEN
Weißt du wie die Nummer von der Betreuungsperson ist;TELEFONNUMMER_BEKOMMEN
Kannst du mir bitte die Kontakt-Nr von der Pflegekraft geben;TELEFONNUMMER_BEKOMMEN
Wie lautet die Nummer von Frau von der Leyen;TELEFONNUMMER_BEKOMMEN
Die Handynummer von der Mutter von Michael weißt du die;TELEFONNUMMER_BEKOMMEN
Die Telefonnummer von meinem Onkel bitte;TELEFONNUMMER_BEKOMMEN
Ich brauche die Nummer von der Tante von Lisa;TELEFONNUMMER_BEKOMMEN
Wie lautet die Telefonnummer von den Eltern von Anna;TELEFONNUMMER_BEKOMMEN
Ich brauche dringend die Rufnummer von der Schwester;TELEFONNUMMER_BEKOMMEN
Gib mir die Telefonnummer von der Pflegehelferin;TELEFONNUMMER_BEKOMMEN
Kannst du mir die Telefonnummer von meinem Bruder geben;TELEFONNUMMER_BEKOMMEN
Was ist die Handynummer von der Familie Bauer;TELEFONNUMMER_BEKOMMEN
Weißt du wie die Nummer von der Pflegeperson ist;TELEFONNUMMER_BEKOMMEN
